"name","rarity","colorIdentity","types","cmc","score","B","G","R","U","W","quantity"
"Karn, the Great Creator","rare","","Planeswalker","4",3.64,0,0,0,0,0,0
"Ugin, the Ineffable","rare","","Planeswalker","6",9.94,0,0,0,0,0,0
"Ugin's Conjurant","uncommon","","Creature","0",5.67,0,0,0,0,0,0
"Ajani's Pridemate","uncommon","W","Creature","2",6.01,0,0,0,0,1,0
"Battlefield Promotion","common","W","Instant","2",4.97,0,0,0,0,1,0
"Bond of Discipline","uncommon","W","Sorcery","5",4.91,0,0,0,0,1,0
"Bulwark Giant","common","W","Creature","6",3.34,0,0,0,0,1,0
"Charmed Stray","common","W","Creature","1",2.57,0,0,0,0,1,0
"Defiant Strike","common","W","Instant","1",4.02,0,0,0,0,1,0
"Divine Arrow","common","W","Instant","2",6.73,0,0,0,0,1,0
"Enforcer Griffin","common","W","Creature","5",5.34,0,0,0,0,1,0
"Finale of Glory","mythic","W","Sorcery","2",9.33,0,0,0,0,1,0
"Gideon Blackblade","mythic","W","Planeswalker","3",10.84,0,0,0,0,1,0
"Gideon's Sacrifice","common","W","Instant","1",3.31,0,0,0,0,1,0
"Gideon's Triumph","uncommon","W","Instant","2",5.97,0,0,0,0,1,0
"God-Eternal Oketra","mythic","W","Creature","5",11.54,0,0,0,0,1,0
"Grateful Apparition","uncommon","W","Creature","2",6.6,0,0,0,0,1,0
"Ignite the Beacon","rare","W","Instant","5",3.95,0,0,0,0,1,0
"Ironclad Krovod","common","W","Creature","4",3.07,0,0,0,0,1,0
"Law-Rune Enforcer","common","W","Creature","1",7.11,0,0,0,0,1,0
"Loxodon Sergeant","common","W","Creature","4",4.6,0,0,0,0,1,0
"Makeshift Battalion","common","W","Creature","3",5.14,0,0,0,0,1,0
"Martyr for the Cause","common","W","Creature","2",5.38,0,0,0,0,1,0
"Parhelion II","rare","Artifact","Artifact","8",6.7,0,0,0,0,1,0
"Pouncing Lynx","common","W","Creature","2",5.35,0,0,0,0,1,0
"Prison Realm","uncommon","W","Enchantment","3",8.7,0,0,0,0,1,0
"Rally of Wings","uncommon","W","Instant","2",4.1,0,0,0,0,1,0
"Ravnica at War","rare","W","Sorcery","4",4.22,0,0,0,0,1,0
"Rising Populace","common","W","Creature","3",5.49,0,0,0,0,1,0
"Single Combat","rare","W","Sorcery","5",6.23,0,0,0,0,1,0
"Sunblade Angel","uncommon","W","Creature","6",6.62,0,0,0,0,1,0
"Teyo, the Shieldmage","uncommon","W","Planeswalker","3",4.08,0,0,0,0,1,0
