"name","rarity","colorIdentity","types","cmc","score","B","G","R","U","W","quantity"
"Bag of Holding","rare","Artifact","Artifact","1",6.25,0,0,0,0,0,0
"Colossus Hammer","uncommon","Artifact","Artifact","1",2.56,0,0,0,0,0,0
"Grafdigger's Cage","rare","Artifact","Artifact","1",0.78,0,0,0,0,0,0
"Manifold Key","uncommon","Artifact","Artifact","1",3.66,0,0,0,0,0,0
"Ancestral Blade","uncommon","Artifact","Artifact","2",6.46,0,0,0,0,1,0
"Chandra's Regulator","rare","Artifact","Artifact","2",4.3,0,0,1,0,0,0
"Heart-Piercer Bow","common","Artifact","Artifact","2",3.34,0,0,0,0,0,0
"Marauder's Axe","common","Artifact","Artifact","2",3.75,0,0,0,0,0,0
"Mask of Immolation","uncommon","Artifact","Artifact","2",5.18,0,0,1,0,0,0
"Prismite","common","Artifact","Creature","2",2.52,0,0,0,0,0,0
"Steel Overseer","rare","Artifact","Creature","2",6.04,0,0,0,0,0,0
"Vial of Dragonfire","common","Artifact","Artifact","2",4.02,0,0,0,0,0,0
"Diamond Knight","uncommon","Artifact","Creature","3",5.46,0,0,0,0,0,0
"Icon of Ancestry","rare","Artifact","Artifact","3",5.25,0,0,0,0,0,0
"Portal of Sanctuary","uncommon","Artifact","Artifact","3",2.71,0,0,0,1,0,0
"Retributive Wand","uncommon","Artifact","Artifact","3",3.36,0,0,0,0,0,0
"Salvager of Ruin","uncommon","Artifact","Creature","3",4.18,0,0,0,0,0,0
"Scuttlemutt","uncommon","Artifact","Creature","3",5.91,0,0,0,0,0,0
"Anvilwrought Raptor","common","Artifact","Creature","4",3.65,0,0,0,0,0,0
"Diviner's Lockbox","uncommon","Artifact","Artifact","4",1.96,0,0,0,0,0,0
"Mystic Forge","rare","Artifact","Artifact","4",2.08,0,0,0,0,0,0
"Pattern Matcher","uncommon","Artifact","Creature","4",4.97,0,0,0,0,0,0
"Wolfrider's Saddle","uncommon","Artifact","Artifact","4",5.84,0,1,0,0,0,0
"Golos, Tireless Pilgrim","rare","Artifact","Creature","5",5.97,1,1,1,1,1,0
"Stone Golem","common","Artifact","Creature","5",3.25,0,0,0,0,0,0
"Bloodsoaked Altar","uncommon","Artifact","Artifact","6",4.94,1,0,0,0,0,0
"Meteor Golem","uncommon","Artifact","Creature","7",6.45,0,0,0,0,0,0
"Bone Splinters","common","B","Sorcery","1",5.61,1,0,0,0,0,0
"Disfigure","uncommon","B","Instant","1",7.74,1,0,0,0,0,0
"Duress","common","B","Sorcery","1",2.67,1,0,0,0,0,0
"Knight of the Ebon Legion","rare","B","Creature","1",8.29,1,0,0,0,0,0
"Sanitarium Skeleton","common","B","Creature","1",4.33,1,0,0,0,0,0
"Scheming Symmetry","rare","B","Sorcery","1",1.74,1,0,0,0,0,0
"Vampire of the Dire Moon","uncommon","B","Creature","1",6.27,1,0,0,0,0,0
"Bladebrand","common","B","Instant","2",4.55,1,0,0,0,0,0
"Blightbeetle","uncommon","B","Creature","2",2.96,1,0,0,0,0,0
"Blood Burglar","common","B","Creature","2",4.76,1,0,0,0,0,0
"Legion's End","rare","B","Sorcery","2",4.69,1,0,0,0,0,0
"Noxious Grasp","uncommon","B","Instant","2",4.53,1,0,0,0,0,0
"Sorcerer of the Fang","common","B","Creature","2",4.05,1,0,0,0,0,0
"Yarok's Fenlurker","uncommon","B","Creature","2",5.9,1,0,0,0,0,0
"Audacious Thief","common","B","Creature","3",6.22,1,0,0,0,0,0
"Barony Vampire","common","B","Creature","3",2.75,1,0,0,0,0,0
"Bloodthirsty Aerialist","uncommon","B","Creature","3",7.63,1,0,0,0,0,0
"Embodiment of Agonies","rare","B","Creature","3",7.24,1,0,0,0,0,0
"Gorging Vulture","common","B","Creature","3",5.65,1,0,0,0,0,0
"Mind Rot","common","B","Sorcery","3",3.44,1,0,0,0,0,0
"Murder","common","B","Instant","3",8.91,1,0,0,0,0,0
"Rotting Regisaur","rare","B","Creature","3",8.09,1,0,0,0,0,0
"Sorin, Imperious Bloodlord","mythic","B","Planeswalker","3",6.97,1,0,0,0,0,0
"Soul Salvage","common","B","Sorcery","3",5.42,1,0,0,0,0,0
"Unholy Indenture","common","B","Enchantment","3",3.17,1,0,0,0,0,0
"Agonizing Syphon","common","B","Sorcery","4",6.22,1,0,0,0,0,0
"Blood for Bones","uncommon","B","Sorcery","4",6.19,1,0,0,0,0,0
"Dread Presence","rare","B","Creature","4",9.61,1,0,0,0,0,0
"Fathom Fleet Cutthroat","common","B","Creature","4",4.96,1,0,0,0,0,0
"Gravedigger","uncommon","B","Creature","4",6.97,1,0,0,0,0,0
"Leyline of the Void","rare","B","Enchantment","4",1.01,1,0,0,0,0,0
"Undead Servant","common","B","Creature","4",3.95,1,0,0,0,0,0
"Boneclad Necromancer","common","B","Creature","5",5.69,1,0,0,0,0,0
"Cavalier of Night","mythic","B","Creature","5",10.27,1,0,0,0,0,0
"Epicure of Blood","common","B","Creature","5",4.89,1,0,0,0,0,0
"Gruesome Scourger","uncommon","B","Creature","5",5.06,1,0,0,0,0,0
"Vengeful Warchief","uncommon","B","Creature","5",5.81,1,0,0,0,0,0
"Feral Abomination","common","B","Creature","6",3.61,1,0,0,0,0,0
"Thought Distortion","uncommon","B","Sorcery","6",1.96,1,0,0,0,0,0
"Vilis, Broker of Blood","rare","B","Creature","8",7.67,1,0,0,0,0,0
"Elvish Reclaimer","rare","G","Creature","1",5.65,0,1,0,0,0,0
