"name","rarity","colorIdentity","types","cmc","score","B","G","R","U","W","quantity"
"Scrabbling Claws","uncommon","Artifact","Artifact","1",1.52,0,0,0,0,0,0
"Screaming Shield","uncommon","Artifact","Artifact","1",2.25,0,0,0,0,0,0
"Glass of the Guildpact","rare","Artifact","Artifact","2",5.28,0,0,0,0,0,0
"Azorius Locket","common","Artifact","Artifact","3",4.11,0,0,0,1,1,0
"Gruul Locket","common","Artifact","Artifact","3",3.58,0,1,1,0,0,0
"Orzhov Locket","common","Artifact","Artifact","3",3.9,1,0,0,0,1,0
"Rakdos Locket","common","Artifact","Artifact","3",3.17,1,0,1,0,0,0
"Simic Locket","common","Artifact","Artifact","3",4.13,0,1,0,1,0,0
"Junktroller","uncommon","Artifact","Creature","4",2.11,0,0,0,0,0,0
"Tome of the Guildpact","rare","Artifact","Artifact","5",4.35,0,0,0,0,0,0
"Sphinx of the Guildpact","uncommon","Artifact","Creature","7",6.35,1,1,1,1,1,0
"Gate Colossus","uncommon","Artifact","Creature","8",5.92,0,0,0,0,0,0
"Font of Agonies","rare","B","Enchantment","1",1.61,1,0,0,0,0,0
"Gutterbones","rare","B","Creature","1",6.54,1,0,0,0,0,0
"Thirsting Shade","common","B","Creature","1",3.44,1,0,0,0,0,0
"Bankrupt in Blood","uncommon","B","Sorcery","2",3.54,1,0,0,0,0,0
"Bladebrand","common","B","Instant","2",4.94,1,0,0,0,0,0
"Orzhov Enforcer","uncommon","B","Creature","2",7.22,1,0,0,0,0,0
"Plague Wight","common","B","Creature","2",5.69,1,0,0,0,0,0
"Priest of Forgotten Gods","rare","B","Creature","2",6.39,1,0,0,0,0,0
"Bloodmist Infiltrator","uncommon","B","Creature","3",4.71,1,0,0,0,0,0
"Cry of the Carnarium","uncommon","B","Sorcery","3",6.43,1,0,0,0,0,0
"Drill Bit","uncommon","B","Sorcery","3",3.84,1,0,0,0,0,0
"Grotesque Demise","common","B","Instant","3",7.29,1,0,0,0,0,0
"Noxious Groodion","common","B","Creature","3",5.3,1,0,0,0,0,0
"Pestilent Spirit","rare","B","Creature","3",8.33,1,0,0,0,0,0
"Spire Mangler","uncommon","B","Creature","3",6.65,1,0,0,0,0,0
"Undercity's Embrace","common","B","Instant","3",5.09,1,0,0,0,0,0
"Carrion Imp","common","B","Creature","4",4.96,1,0,0,0,0,0
"Dead Revels","common","B","Sorcery","4",5.37,1,0,0,0,0,0
"Ill-Gotten Inheritance","common","B","Enchantment","4",4.36,1,0,0,0,0,0
"Spawn of Mayhem","mythic","B","Creature","4",10.93,1,0,0,0,0,0
"Undercity Scavenger","common","B","Creature","4",5.73,1,0,0,0,0,0
"Vindictive Vampire","uncommon","B","Creature","4",5.69,1,0,0,0,0,0
"Awaken the Erstwhile","rare","B","Sorcery","5",2.23,1,0,0,0,0,0
"Blade Juggler","common","B","Creature","5",6.07,1,0,0,0,0,0
"Catacomb Crocodile","common","B","Creature","5",4.15,1,0,0,0,0,0
"Clear the Stage","uncommon","B","Instant","5",6.88,1,0,0,0,0,0
"Orzhov Racketeers","uncommon","B","Creature","5",5.58,1,0,0,0,0,0
"Consign to the Pit","common","B","Sorcery","6",5.91,1,0,0,0,0,0
"Debtors' Transport","common","B","Creature","6",4.64,1,0,0,0,0,0
"Open the Gates","common","G","Sorcery","1",4.74,0,1,0,0,0,0
"Saruli Caretaker","common","G","Creature","1",3.51,0,1,0,0,0,0
"Stony Strength","common","G","Instant","1",4.65,0,1,0,0,0,0
"Gift of Strength","common","G","Instant","2",5,0,1,0,0,0,0
"Growth-Chamber Guardian","rare","G","Creature","2",6.51,0,1,0,0,0,0
"Incubation Druid","rare","G","Creature","2",7.75,0,1,0,0,0,0
"Root Snare","common","G","Instant","2",1.33,0,1,0,0,0,0
"Sauroform Hybrid","common","G","Creature","2",5.63,0,1,0,0,0,0
"Silhana Wayfinder","uncommon","G","Creature","2",5.43,0,1,0,0,0,0
"Territorial Boar","common","G","Creature","2",4.82,0,1,0,0,0,0
"Titanic Brawl","common","G","Instant","2",6.34,0,1,0,0,0,0
"Tower Defense","uncommon","G","Instant","2",3.05,0,1,0,0,0,0
"Gatebreaker Ram","uncommon","G","Creature","3",6.31,0,1,0,0,0,0
"Sagittars' Volley","common","G","Instant","3",4.05,0,1,0,0,0,0
"Sylvan Brushstrider","common","G","Creature","3",4.02,0,1,0,0,0,0
"Axebane Beast","common","G","Creature","4",4.01,0,1,0,0,0,0
"Enraged Ceratok","uncommon","G","Creature","4",7.07,0,1,0,0,0,0
"Gruul Beastmaster","uncommon","G","Creature","4",6.05,0,1,0,0,0,0
"Guardian Project","rare","G","Enchantment","4",6.35,0,1,0,0,0,0
"Rampage of the Clans","rare","G","Instant","4",1.46,0,1,0,0,0,0
"Wilderness Reclamation","uncommon","G","Enchantment","4",3.43,0,1,0,0,0,0
"Biogenic Ooze","mythic","G","Creature","5",10.62,0,1,0,0,0,0
"Mammoth Spider","common","G","Creature","5",5.66,0,1,0,0,0,0
"Rampaging Rendhorn","common","G","Creature","5",5.84,0,1,0,0,0,0
"Regenesis","uncommon","G","Instant","5",4.65,0,1,0,0,0,0
"Trollbred Guardian","uncommon","G","Creature","5",7.49,0,1,0,0,0,0
"Biogenic Upgrade","uncommon","G","Sorcery","6",6.97,0,1,0,0,0,0
"Wrecking Beast","common","G","Creature","7",5.44,0,1,0,0,0,0
"End-Raze Forerunners","rare","G","Creature","8",8.29,0,1,0,0,0,0
"Azorius Guildgate","common","Land","Land","0",5.75,0,0,0,1,1,0
"Blood Crypt","rare","Land","Land","0",6.66,1,0,1,0,0,0
"Breeding Pool","rare","Land","Land","0",6.63,0,1,0,1,0,0
"Gateway Plaza","common","Land","Land","0",4.62,0,0,0,0,0,0
"Godless Shrine","rare","Land","Land","0",6.66,1,0,0,0,1,0
"Gruul Guildgate","common","Land","Land","0",5.61,0,1,1,0,0,0
"Hallowed Fountain","rare","Land","Land","0",6.67,0,0,0,1,1,0
"Orzhov Guildgate","common","Land","Land","0",5.7,1,0,0,0,1,0
"Plaza of Harmony","rare","Land","Land","0",4.42,0,0,0,0,0,0
"Rakdos Guildgate","common","Land","Land","0",5.51,1,0,1,0,0,0
"Simic Guildgate","common","Land","Land","0",5.67,0,1,0,1,0,0
"Stomping Ground","rare","Land","Land","0",6.7,0,1,1,0,0,0
"Twilight Panther","common","M","Creature","1",5.47,1,0,0,0,1,0
"Consecrate // Consume","uncommon","M","Sorcery","2",7.27,1,0,0,0,1,0
"Final Payment","common","M","Instant","2",7.82,1,0,0,0,1,0
"Imperious Oligarch","common","M","Creature","2",6.59,1,0,0,0,1,0
"Pitiless Pontiff","uncommon","M","Creature","2",7.14,1,0,0,0,1,0
"Revival // Revenge","rare","M","Sorcery","2",6.84,1,0,0,0,1,0
"Syndicate Guildmage","uncommon","M","Creature","2",6.36,1,0,0,0,1,0
"Kaya, Orzhov Usurper","mythic","M","Planeswalker","3",3.92,1,0,0,0,1,0
"Mortify","uncommon","M","Instant","3",9.22,1,0,0,0,1,0
"Vizkopa Vampire","common","M","Creature","3",4.6,1,0,0,0,1,0
"Basilica Bell-Haunt","uncommon","M","Creature","4",6.63,1,0,0,0,1,0
"Kaya's Wrath","rare","M","Sorcery","4",8.99,1,0,0,0,1,0
"Seraph of the Scales","mythic","M","Creature","4",10.22,1,0,0,0,1,0
"Teysa Karlov","rare","M","Creature","4",7.78,1,0,0,0,1,0
"Grasping Thrull","common","M","Creature","5",6.49,1,0,0,0,1,0
"Ethereal Absolution","rare","M","Enchantment","6",9.24,1,0,0,0,1,0
"Knight of the Last Breath","uncommon","M","Creature","7",5.21,1,0,0,0,1,0
"Carnival // Carnage","uncommon","M","Sorcery","1",6.7,1,0,1,0,0,0
"Footlight Fiend","common","M","Creature","1",4.67,1,0,1,0,0,0
"Bedeck // Bedazzle","rare","M","Instant","2",7.19,1,0,1,0,0,0
"Cult Guildmage","uncommon","M","Creature","2",7,1,0,1,0,0,0
"Fireblade Artist","uncommon","M","Creature","2",6.96,1,0,1,0,0,0
"Rakdos Trumpeter","common","M","Creature","2",4.98,1,0,1,0,0,0
"Rix Maadi Reveler","rare","M","Creature","2",7.6,1,0,1,0,0,0
"Bedevil","rare","M","Instant","3",9.1,1,0,1,0,0,0
"Hackrobat","uncommon","M","Creature","3",6.92,1,0,1,0,0,0
"Judith, the Scourge Diva","rare","M","Creature","3",8.84,1,0,1,0,0,0
"Rakdos Roustabout","common","M","Creature","3",5.81,1,0,1,0,0,0
"Theater of Horrors","rare","M","Enchantment","3",7.89,1,0,1,0,0,0
"Macabre Mockery","uncommon","M","Instant","4",5.67,1,0,1,0,0,0
"Rafter Demon","common","M","Creature","4",4.78,1,0,1,0,0,0
"Rakdos Firewheeler","uncommon","M","Creature","4",7.83,1,0,1,0,0,0
"Get the Point","common","M","Instant","5",7.62,1,0,1,0,0,0
"Rakdos, the Showstopper","mythic","M","Creature","6",10.1,1,0,1,0,0,0
"Captive Audience","mythic","M","Enchantment","7",6.18,1,0,1,0,0,0
"Depose // Deploy","uncommon","M","Instant","2",7.04,0,0,0,1,1,0
"Lavinia, Azorius Renegade","rare","M","Creature","2",3.91,0,0,0,1,1,0
"Senate Guildmage","uncommon","M","Creature","2",7.52,0,0,0,1,1,0
"Warrant // Warden","rare","M","Sorcery","2",8.7,0,0,0,1,1,0
"Absorb","rare","M","Instant","3",5.5,0,0,0,1,1,0
"Deputy of Detention","rare","M","Creature","3",8.48,0,0,0,1,1,0
"Dovin's Acuity","uncommon","M","Enchantment","3",6.15,0,0,0,1,1,0
"Dovin, Grand Arbiter","mythic","M","Planeswalker","3",8.92,0,0,0,1,1,0
"High Alert","uncommon","M","Enchantment","3",3.47,0,0,0,1,1,0
"Lawmage's Binding","common","M","Enchantment","3",8.43,0,0,0,1,1,0
"Senate Courier","common","M","Creature","3",5.13,0,0,0,1,1,0
"Senate Griffin","common","M","Creature","4",6.25,0,0,0,1,1,0
"Sphinx's Insight","common","M","Instant","4",5.72,0,0,0,1,1,0
"Sphinx of New Prahv","uncommon","M","Creature","4",8.16,0,0,0,1,1,0
"Azorius Knight-Arbiter","common","M","Creature","5",6.43,0,0,0,1,1,0
"Azorius Skyguard","uncommon","M","Creature","6",7.11,0,0,0,1,1,0
"Emergency Powers","mythic","M","Instant","7",4.43,0,0,0,1,1,0
"Cindervines","rare","M","Enchantment","2",4.1,0,1,1,0,0,0
"Clan Guildmage","uncommon","M","Creature","2",6.93,0,1,1,0,0,0
"Collision // Colossus","uncommon","M","Instant","2",7.05,0,1,1,0,0,0
"Gravel-Hide Goblin","common","M","Creature","2",4.83,0,1,1,0,0,0
"Thrash // Threat","rare","M","Sorcery","2",8.7,0,1,1,0,0,0
"Zhur-Taa Goblin","uncommon","M","Creature","2",7.15,0,1,1,0,0,0
"Gruul Spellbreaker","rare","M","Creature","3",8.94,0,1,1,0,0,0
"Rhythm of the Wild","uncommon","M","Enchantment","3",7.37,0,1,1,0,0,0
"Rubble Slinger","common","M","Creature","3",4.95,0,1,1,0,0,0
"Rubblebelt Runner","common","M","Creature","3",6.14,0,1,1,0,0,0
"Savage Smash","common","M","Sorcery","3",7.24,0,1,1,0,0,0
"Domri, Chaos Bringer","mythic","M","Planeswalker","4",9.9,0,1,1,0,0,0
"Frenzied Arynx","common","M","Creature","4",7.14,0,1,1,0,0,0
"Sunder Shaman","uncommon","M","Creature","4",8.07,0,1,1,0,0,0
"Bolrac-Clan Crusher","uncommon","M","Creature","5",6.89,0,1,1,0,0,0
"Nikya of the Old Ways","rare","M","Creature","5",7.58,0,1,1,0,0,0
"Ravager Wurm","mythic","M","Creature","6",10.16,0,1,1,0,0,0
"Incubation // Incongruity","uncommon","M","Instant","1",7.13,0,1,0,1,0,0
"Applied Biomancy","common","M","Instant","2",6.64,0,1,0,1,0,0
"Biomancer's Familiar","rare","M","Creature","2",8.08,0,1,0,1,0,0
"Combine Guildmage","uncommon","M","Creature","2",6.75,0,1,0,1,0,0
"Growth Spiral","common","M","Instant","2",5.73,0,1,0,1,0,0
"Hydroid Krasis","mythic","M","Creature","2",10.3,0,1,0,1,0,0
"Repudiate // Replicate","rare","M","Sorcery","2",6.94,0,1,0,1,0,0
"Simic Ascendancy","rare","M","Enchantment","2",5.8,0,1,0,1,0,0
"Aeromunculus","common","M","Creature","3",7.03,0,1,0,1,0,0
"Gyre Engineer","uncommon","M","Creature","3",6.53,0,1,0,1,0,0
"Steeple Creeper","common","M","Creature","3",5.34,0,1,0,1,0,0
"Frilled Mystic","uncommon","M","Creature","4",7.9,0,1,0,1,0,0
"Prime Speaker Vannifar","mythic","M","Creature","4",7.89,0,1,0,1,0,0
"Sharktocrab","uncommon","M","Creature","4",8.1,0,1,0,1,0,0
"Zegana, Utopian Speaker","rare","M","Creature","4",9.13,0,1,0,1,0,0
"Galloping Lizrog","uncommon","M","Creature","5",7.28,0,1,0,1,0,0
"Scuttlegator","common","M","Creature","6",3.94,0,1,0,1,0,0
"Deface","common","R","Sorcery","1",1.81,0,0,1,0,0,0
"Spear Spewer","common","R","Creature","1",4.71,0,0,1,0,0,0
"Storm Strike","common","R","Instant","1",5.21,0,0,1,0,0,0
"Tin Street Dodger","uncommon","R","Creature","1",4.16,0,0,1,0,0,0
"Cavalcade of Calamity","uncommon","R","Enchantment","2",2.38,0,0,1,0,0,0
"Electrodominance","rare","R","Instant","2",9.63,0,0,1,0,0,0
"Feral Maaka","common","R","Creature","2",3.43,0,0,1,0,0,0
"Immolation Shaman","rare","R","Creature","2",6.16,0,0,1,0,0,0
"Scorchmark","common","R","Instant","2",6.84,0,0,1,0,0,0
"Smelt-Ward Ignus","uncommon","R","Creature","2",5.51,0,0,1,0,0,0
"Act of Treason","common","R","Sorcery","3",4.2,0,0,1,0,0,0
"Burn Bright","common","R","Instant","3",4.11,0,0,1,0,0,0
"Burning-Tree Vandal","common","R","Creature","3",5.84,0,0,1,0,0,0
"Clamor Shaman","uncommon","R","Creature","3",5.81,0,0,1,0,0,0
"Gates Ablaze","uncommon","R","Sorcery","3",4.87,0,0,1,0,0,0
"Goblin Gathering","common","R","Sorcery","3",4.76,0,0,1,0,0,0
